----------------------------------------------------------------
Epoch 85/300, Train Loss: 0.587, Train Accuracy: 79.47%, Test Loss: 0.0042, Test Accuracy: 81.67%
Epoch 86/300, Train Loss: 0.594, Train Accuracy: 79.16%, Test Loss: 0.0041, Test Accuracy: 82.15%
Epoch 87/300, Train Loss: 0.585, Train Accuracy: 79.47%, Test Loss: 0.0041, Test Accuracy: 81.88%
Epoch 88/300, Train Loss: 0.586, Train Accuracy: 79.61%, Test Loss: 0.0042, Test Accuracy: 81.99%
Epoch 89/300, Train Loss: 0.580, Train Accuracy: 79.62%, Test Loss: 0.0040, Test Accuracy: 82.83%
Epoch 90/300, Train Loss: 0.582, Train Accuracy: 79.77%, Test Loss: 0.0041, Test Accuracy: 82.53%
Epoch 91/300, Train Loss: 0.582, Train Accuracy: 79.70%, Test Loss: 0.0041, Test Accuracy: 82.61%
Epoch 92/300, Train Loss: 0.576, Train Accuracy: 79.79%, Test Loss: 0.0041, Test Accuracy: 82.50%
Epoch 93/300, Train Loss: 0.577, Train Accuracy: 79.76%, Test Loss: 0.0040, Test Accuracy: 82.76%
Epoch 94/300, Train Loss: 0.572, Train Accuracy: 79.98%, Test Loss: 0.0041, Test Accuracy: 82.27%
Epoch 95/300, Train Loss: 0.571, Train Accuracy: 79.83%, Test Loss: 0.0041, Test Accuracy: 82.39%
Epoch 96/300, Train Loss: 0.570, Train Accuracy: 80.11%, Test Loss: 0.0042, Test Accuracy: 82.21%
Epoch 97/300, Train Loss: 0.565, Train Accuracy: 80.38%, Test Loss: 0.0040, Test Accuracy: 82.43%
Epoch 98/300, Train Loss: 0.577, Train Accuracy: 79.86%, Test Loss: 0.0039, Test Accuracy: 83.06%
Epoch 99/300, Train Loss: 0.568, Train Accuracy: 80.14%, Test Loss: 0.0039, Test Accuracy: 83.55%
Epoch 100/300, Train Loss: 0.563, Train Accuracy: 80.56%, Test Loss: 0.0041, Test Accuracy: 81.96%
Epoch 101/300, Train Loss: 0.566, Train Accuracy: 80.13%, Test Loss: 0.0040, Test Accuracy: 82.90%
Epoch 102/300, Train Loss: 0.562, Train Accuracy: 80.40%, Test Loss: 0.0040, Test Accuracy: 82.72%
Epoch 103/300, Train Loss: 0.556, Train Accuracy: 80.59%, Test Loss: 0.0041, Test Accuracy: 82.61%
Epoch 104/300, Train Loss: 0.558, Train Accuracy: 80.54%, Test Loss: 0.0039, Test Accuracy: 83.05%
Epoch 105/300, Train Loss: 0.559, Train Accuracy: 80.52%, Test Loss: 0.0039, Test Accuracy: 83.35%
Epoch 106/300, Train Loss: 0.559, Train Accuracy: 80.34%, Test Loss: 0.0039, Test Accuracy: 83.01%
Epoch 107/300, Train Loss: 0.553, Train Accuracy: 80.69%, Test Loss: 0.0039, Test Accuracy: 83.00%
Epoch 108/300, Train Loss: 0.555, Train Accuracy: 80.64%, Test Loss: 0.0039, Test Accuracy: 82.77%
Epoch 109/300, Train Loss: 0.552, Train Accuracy: 80.44%, Test Loss: 0.0039, Test Accuracy: 82.88%
Epoch 110/300, Train Loss: 0.556, Train Accuracy: 80.62%, Test Loss: 0.0039, Test Accuracy: 82.78%
Epoch 111/300, Train Loss: 0.549, Train Accuracy: 80.73%, Test Loss: 0.0040, Test Accuracy: 82.52%
Epoch 112/300, Train Loss: 0.552, Train Accuracy: 80.55%, Test Loss: 0.0039, Test Accuracy: 83.22%
Epoch 113/300, Train Loss: 0.546, Train Accuracy: 80.94%, Test Loss: 0.0039, Test Accuracy: 83.05%
Epoch 114/300, Train Loss: 0.549, Train Accuracy: 80.79%, Test Loss: 0.0039, Test Accuracy: 83.60%
Epoch 115/300, Train Loss: 0.545, Train Accuracy: 80.90%, Test Loss: 0.0039, Test Accuracy: 83.12%
Epoch 116/300, Train Loss: 0.544, Train Accuracy: 80.99%, Test Loss: 0.0038, Test Accuracy: 83.40%
Epoch 117/300, Train Loss: 0.549, Train Accuracy: 80.87%, Test Loss: 0.0039, Test Accuracy: 83.37%
Epoch 118/300, Train Loss: 0.544, Train Accuracy: 81.08%, Test Loss: 0.0038, Test Accuracy: 83.59%
Epoch 119/300, Train Loss: 0.542, Train Accuracy: 81.00%, Test Loss: 0.0041, Test Accuracy: 82.34%
Epoch 120/300, Train Loss: 0.542, Train Accuracy: 81.10%, Test Loss: 0.0038, Test Accuracy: 83.45%
Epoch 121/300, Train Loss: 0.544, Train Accuracy: 81.12%, Test Loss: 0.0038, Test Accuracy: 83.29%
Epoch 122/300, Train Loss: 0.542, Train Accuracy: 81.12%, Test Loss: 0.0039, Test Accuracy: 83.41%
Epoch 123/300, Train Loss: 0.539, Train Accuracy: 80.99%, Test Loss: 0.0037, Test Accuracy: 84.39%
Epoch 124/300, Train Loss: 0.540, Train Accuracy: 81.17%, Test Loss: 0.0038, Test Accuracy: 83.45%
Epoch 125/300, Train Loss: 0.545, Train Accuracy: 80.95%, Test Loss: 0.0041, Test Accuracy: 82.42%
Epoch 126/300, Train Loss: 0.534, Train Accuracy: 81.36%, Test Loss: 0.0038, Test Accuracy: 83.26%
Epoch 127/300, Train Loss: 0.532, Train Accuracy: 81.56%, Test Loss: 0.0037, Test Accuracy: 84.05%
Epoch 128/300, Train Loss: 0.532, Train Accuracy: 81.54%, Test Loss: 0.0038, Test Accuracy: 83.41%
Epoch 129/300, Train Loss: 0.533, Train Accuracy: 81.23%, Test Loss: 0.0039, Test Accuracy: 83.20%
Epoch 130/300, Train Loss: 0.533, Train Accuracy: 81.42%, Test Loss: 0.0038, Test Accuracy: 83.30%
Epoch 131/300, Train Loss: 0.534, Train Accuracy: 81.25%, Test Loss: 0.0038, Test Accuracy: 83.90%
Epoch 132/300, Train Loss: 0.532, Train Accuracy: 81.37%, Test Loss: 0.0038, Test Accuracy: 83.57%
Epoch 133/300, Train Loss: 0.531, Train Accuracy: 81.37%, Test Loss: 0.0039, Test Accuracy: 83.39%
Epoch 134/300, Train Loss: 0.527, Train Accuracy: 81.67%, Test Loss: 0.0039, Test Accuracy: 83.04%
Epoch 135/300, Train Loss: 0.530, Train Accuracy: 81.38%, Test Loss: 0.0037, Test Accuracy: 83.95%
Epoch 136/300, Train Loss: 0.528, Train Accuracy: 81.56%, Test Loss: 0.0038, Test Accuracy: 83.88%
